Code,Standard,Benchmark,"Curriculum Course/Unit/Lesson","Assessment (Evidence of Mastery)"
9.2.1.1,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.",Understand the definition of a function. Use functional notation and evaluate a function at a given point in its domain. ,n/a,n/a
9.2.1.2,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.","Distinguish between functions and other relations defined symbolically, graphically or in tabular form.",n/a,n/a
9.2.1.3,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.","Find the domain of a function defined symbolically, graphically or in a real-world context. ",n/a,n/a
9.2.1.4,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.",Obtain information and draw conclusions from graphs of functions and other relations. ,n/a,n/a
9.2.1.5,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.","Identify the vertex, line of symmetry and intercepts of the parabola corresponding to a quadratic function, using symbolic and graphical methods, when the function is expressed in the form      f(x) = ax2 + bx + c, in the form     f(x) = a(x – h)2 + k , or in factored form.",n/a,n/a
9.2.1.6,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.","Identify intercepts, zeros, maxima, minima and intervals of increase and decrease from the graph of a function. ",n/a,n/a
9.2.1.7,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.","Understand the concept of an asymptote and identify asymptotes for exponential functions and reciprocals of linear functions, using symbolic and graphical methods.",n/a,n/a
9.2.1.8,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.","Make qualitative statements about the rate of change of a function, based on its graph or table of values. ",n/a,n/a
9.2.1.9,"Understand the concept of function, and identify important features of functions and other relations using symbolic and graphical methods where appropriate.",Determine how translations affect the symbolic and graphical forms of a function. Know how to use graphing technology to examine translations. ,n/a,n/a
9.2.2.1,"Recognize linear, quadratic, exponential and other common functions in real-world and mathematical situations; represent these functions with tables, verbal descriptions, symbols and graphs; solve problems involving these functions, and explain results in the original context.",Represent and solve problems in various contexts using linear and quadratic functions. ,n/a,n/a
9.2.2.2,"Recognize linear, quadratic, exponential and other common functions in real-world and mathematical situations; represent these functions with tables, verbal descriptions, symbols and graphs; solve problems involving these functions, and explain results in the original context.","Represent and solve problems in various contexts using exponential functions, such as investment growth, depreciation and population growth. ",n/a,n/a
9.2.2.3,"Recognize linear, quadratic, exponential and other common functions in real-world and mathematical situations; represent these functions with tables, verbal descriptions, symbols and graphs; solve problems involving these functions, and explain results in the original context.","Sketch graphs of linear, quadratic and exponential functions, and translate between graphs, tables and symbolic representations. Know how to use graphing technology to graph these functions.",n/a,n/a
9.2.2.4,"Recognize linear, quadratic, exponential and other common functions in real-world and mathematical situations; represent these functions with tables, verbal descriptions, symbols and graphs; solve problems involving these functions, and explain results in the original context.","Express the terms in a geometric sequence recursively and by giving an explicit (closed form) formula, and express the partial sums of a geometric series recursively. ",n/a,n/a
9.2.2.5,"Recognize linear, quadratic, exponential and other common functions in real-world and mathematical situations; represent these functions with tables, verbal descriptions, symbols and graphs; solve problems involving these functions, and explain results in the original context.","Recognize and solve problems that can be modeled using finite geometric sequences and series, such as home mortgage and other compound interest examples. Know how to use spreadsheets and calculators to explore geometric sequences and series in various contexts.",n/a,n/a
9.2.2.6,"Recognize linear, quadratic, exponential and other common functions in real-world and mathematical situations; represent these functions with tables, verbal descriptions, symbols and graphs; solve problems involving these functions, and explain results in the original context.","Sketch the graphs of common non-linear functions such as           f(x) = sqrt(x), f(x) = abs(x), f(x) = 1/x,  f (x) = x^3, and translations of these functions, such as f(x) = sqrt(x - 2) + 4.  Know how to use graphing technology to graph these functions.",n/a,n/a
9.2.3.1,Generate equivalent algebraic expressions involving polynomials and radicals; use algebraic properties to evaluate expressions.,Evaluate polynomial and rational expressions and expressions containing radicals and absolute values at specified points in their domains.,n/a,n/a
9.2.3.2,Generate equivalent algebraic expressions involving polynomials and radicals; use algebraic properties to evaluate expressions.,"Add, subtract and multiply polynomials; divide a polynomial by a polynomial of equal or lower degree.",n/a,n/a
9.2.3.3,Generate equivalent algebraic expressions involving polynomials and radicals; use algebraic properties to evaluate expressions.,"Factor common monomial factors from polynomials, factor quadratic polynomials, and factor the difference of two squares. ",n/a,n/a
9.2.3.4,Generate equivalent algebraic expressions involving polynomials and radicals; use algebraic properties to evaluate expressions.,"Add, subtract, multiply, divide and simplify algebraic fractions.",n/a,n/a
9.2.3.5,Generate equivalent algebraic expressions involving polynomials and radicals; use algebraic properties to evaluate expressions.,"Check whether a given complex number is a solution of a quadratic equation by substituting it for the variable and evaluating the expression, using arithmetic with complex numbers. ",n/a,n/a
9.2.3.6,Generate equivalent algebraic expressions involving polynomials and radicals; use algebraic properties to evaluate expressions.,"Apply the properties of positive and negative rational exponents to generate equivalent algebraic expressions, including those involving nth roots. ",n/a,n/a
9.2.3.7,Generate equivalent algebraic expressions involving polynomials and radicals; use algebraic properties to evaluate expressions.,Justify steps in generating equivalent expressions by identifying the properties used. Use substitution to check the equality of expressions for some particular values of the variables; recognize that checking with substitution does not guarantee equality of expressions for all values of the variables. ,n/a,n/a
9.2.4.1,"Represent real-world and mathematical situations using equations and inequalities involving linear, quadratic, exponential and nth root functions. Solve equations and inequalities symbolically and graphically. Interpret solutions in the original context.","Represent relationships in various contexts using quadratic equations and inequalities. Solve quadratic equations and inequalities by appropriate methods including factoring, completing the square, graphing and the quadratic formula. Find non-real complex roots when they exist. Recognize that a particular solution may not be applicable in the original context. Know how to use calculators, graphing utilities or other technology to solve quadratic equations and inequalities.",n/a,n/a
9.2.4.2,"Represent real-world and mathematical situations using equations and inequalities involving linear, quadratic, exponential and nth root functions. Solve equations and inequalities symbolically and graphically. Interpret solutions in the original context.","Represent relationships in various contexts using equations involving exponential functions; solve these equations graphically or numerically. Know how to use calculators, graphing utilities or other technology to solve these equations.",n/a,n/a
9.2.4.3,"Represent real-world and mathematical situations using equations and inequalities involving linear, quadratic, exponential and nth root functions. Solve equations and inequalities symbolically and graphically. Interpret solutions in the original context.","Recognize that to solve certain equations, number systems need to be extended from whole numbers to integers, from integers to rational numbers, from rational numbers to real numbers, and from real numbers to complex numbers. In particular, non-real complex numbers are needed to solve some quadratic equations with real coefficients.",n/a,n/a
9.2.4.4,"Represent real-world and mathematical situations using equations and inequalities involving linear, quadratic, exponential and nth root functions. Solve equations and inequalities symbolically and graphically. Interpret solutions in the original context.",Represent relationships in various contexts using systems of linear inequalities; solve them graphically. Indicate which parts of the boundary are included in and excluded from the solution set using solid and dotted lines. ,n/a,n/a
9.2.4.5,"Represent real-world and mathematical situations using equations and inequalities involving linear, quadratic, exponential and nth root functions. Solve equations and inequalities symbolically and graphically. Interpret solutions in the original context.",Solve linear programming problems in two variables using graphical methods.,n/a,n/a
9.2.4.6,"Represent real-world and mathematical situations using equations and inequalities involving linear, quadratic, exponential and nth root functions. Solve equations and inequalities symbolically and graphically. Interpret solutions in the original context.",Represent relationships in various contexts using absolute value inequalities in two variables; solve them graphically. ,n/a,n/a
9.2.4.7,"Represent real-world and mathematical situations using equations and inequalities involving linear, quadratic, exponential and nth root functions. Solve equations and inequalities symbolically and graphically. Interpret solutions in the original context.",Solve equations that contain radical expressions. Recognize that extraneous solutions may arise when using symbolic methods. ,n/a,n/a
9.2.4.8,"Represent real-world and mathematical situations using equations and inequalities involving linear, quadratic, exponential and nth root functions. Solve equations and inequalities symbolically and graphically. Interpret solutions in the original context.",Assess the reasonableness of a solution in its given context and compare the solution to appropriate graphical or numerical estimates; interpret a solution in the original context. ,n/a,n/a
9.3.1.1,Calculate measurements of plane and solid geometric figures; know that physical measurements depend on the choice of a unit and that they are approximations.,"Determine the surface area and volume of pyramids, cones and spheres. Use measuring devices or formulas as appropriate. ",n/a,n/a
9.3.1.2,Calculate measurements of plane and solid geometric figures; know that physical measurements depend on the choice of a unit and that they are approximations.,"Compose and decompose two- and three-dimensional figures; use decomposition to determine the perimeter, area, surface area and volume of various figures. ",n/a,n/a
9.3.1.3,Calculate measurements of plane and solid geometric figures; know that physical measurements depend on the choice of a unit and that they are approximations.,"Understand that quantities associated with physical measurements must be assigned units; apply such units correctly in expressions, equations and problem solutions that involve measurements; and convert between measurement systems. ",n/a,n/a
9.3.1.4,Calculate measurements of plane and solid geometric figures; know that physical measurements depend on the choice of a unit and that they are approximations.,"Understand and apply the fact that the effect of a scale factor k on length, area and volume is to multiply each by k, k2 and k3, respectively.",n/a,n/a
9.3.1.5,Calculate measurements of plane and solid geometric figures; know that physical measurements depend on the choice of a unit and that they are approximations.,Make reasonable estimates and judgments about the accuracy of values resulting from calculations involving measurements. ,n/a,n/a
9.3.2.1,"Construct logical arguments, based on axioms, definitions and theorems, to prove theorems and other results in geometry.","Understand the roles of axioms, definitions, undefined terms and theorems in logical arguments.",n/a,n/a
9.3.2.2,"Construct logical arguments, based on axioms, definitions and theorems, to prove theorems and other results in geometry.","Accurately interpret and use words and phrases such as ""if…then,"" ""if and only if,"" ""all,"" and ""not."" Recognize the logical relationships between an ""if…then"" statement and its inverse, converse and contrapositive. ",n/a,n/a
9.3.2.3,"Construct logical arguments, based on axioms, definitions and theorems, to prove theorems and other results in geometry.",Assess the validity of a logical argument and give counterexamples to disprove a statement.,n/a,n/a
9.3.2.4,"Construct logical arguments, based on axioms, definitions and theorems, to prove theorems and other results in geometry.","Construct logical arguments and write proofs of theorems and other results in geometry, including proofs by contradiction. Express proofs in a form that clearly justifies the reasoning, such as two-column proofs, paragraph proofs, flow charts or illustrations. ",n/a,n/a
9.3.2.5,"Construct logical arguments, based on axioms, definitions and theorems, to prove theorems and other results in geometry.","Use technology tools to examine theorems, make and test conjectures, perform constructions and develop mathematical reasoning skills in multi-step problems. The tools may include compass and straight edge, dynamic geometry software, design software or Internet applets.",n/a,n/a
9.3.3.1,Know and apply properties of geometric figures to solve real-world and mathematical problems and to logically justify results in geometry.,"Know and apply properties of parallel and perpendicular lines, including properties of angles formed by a transversal, to solve problems and logically justify results. ",n/a,n/a
9.3.3.2,Know and apply properties of geometric figures to solve real-world and mathematical problems and to logically justify results in geometry.,"Know and apply properties of angles, including corresponding, exterior, interior, vertical, complementary and supplementary angles, to solve problems and logically justify results. ",n/a,n/a
9.3.3.3,Know and apply properties of geometric figures to solve real-world and mathematical problems and to logically justify results in geometry.,"Know and apply properties of equilateral, isosceles and scalene triangles to solve problems and logically justify results. ",n/a,n/a
9.3.3.4,Know and apply properties of geometric figures to solve real-world and mathematical problems and to logically justify results in geometry.,Apply the Pythagorean Theorem and its converse to solve problems and logically justify results. ,n/a,n/a
9.3.3.5,Know and apply properties of geometric figures to solve real-world and mathematical problems and to logically justify results in geometry.,"Know and apply properties of right triangles, including properties of 45-45-90 and 30-60-90 triangles, to solve problems and logically justify results.",n/a,n/a
9.3.3.6,Know and apply properties of geometric figures to solve real-world and mathematical problems and to logically justify results in geometry.,Know and apply properties of congruent and similar figures to solve problems and logically justify results. ,n/a,n/a
9.3.3.7,Know and apply properties of geometric figures to solve real-world and mathematical problems and to logically justify results in geometry.,"Use properties of polygons—including quadrilaterals and regular polygons—to define them, classify them, solve problems and logically justify results.",n/a,n/a
9.3.3.8,Know and apply properties of geometric figures to solve real-world and mathematical problems and to logically justify results in geometry.,Know and apply properties of a circle to solve problems and logically justify results.,n/a,n/a
9.3.4.1,Solve real-world and mathematical geometric problems using algebraic methods.,"Understand how the properties of similar right triangles allow the trigonometric ratios to be defined, and determine the sine, cosine and tangent of an acute angle in a right triangle.",n/a,n/a
9.3.4.2,Solve real-world and mathematical geometric problems using algebraic methods.,"Apply the trigonometric ratios sine, cosine and tangent to solve problems, such as determining lengths and areas in right triangles and in figures that can be decomposed into right triangles. Know how to use calculators, tables or other technology to evaluate trigonometric ratios. ",n/a,n/a
9.3.4.3,Solve real-world and mathematical geometric problems using algebraic methods.,"Use calculators, tables or other technologies in connection with the trigonometric ratios to find angle measures in right triangles in various contexts. ",n/a,n/a
9.3.4.4,Solve real-world and mathematical geometric problems using algebraic methods.,"Use coordinate geometry to represent and analyze line segments and polygons, including determining lengths, midpoints and slopes of line segments.",n/a,n/a
9.3.4.5,Solve real-world and mathematical geometric problems using algebraic methods.,"Know the equation for the graph of a circle with radius r and center (h, k), (x – h)2 + (y – k)2 = r2, and justify this equation using the Pythagorean Theorem and properties of translations.",n/a,n/a
9.3.4.6,Solve real-world and mathematical geometric problems using algebraic methods.,"Use numeric, graphic and symbolic representations of transformations in two dimensions, such as reflections, translations, scale changes and rotations about the origin by multiples of 90˚, to solve problems involving figures on a coordinate grid. ",n/a,n/a
9.3.4.7,Solve real-world and mathematical geometric problems using algebraic methods.,"Use algebra to solve geometric problems unrelated to coordinate geometry, such as solving for an unknown length in a figure involving similar triangles, or using the Pythagorean Theorem to obtain a quadratic equation for a length in a geometric figure.",n/a,n/a
9.4.1.1,"Display and analyze data; use various measures associated with data to draw conclusions, identify trends and describe relationships.","Describe a data set using data displays, including box-and-whisker plots; describe and compare data sets using summary statistics, including measures of center, location and spread. Measures of center and location include mean, median, quartile and percentile. Measures of spread include standard deviation, range and inter-quartile range. Know how to use calculators, spreadsheets or other technology to display data and calculate summary statistics.",n/a,n/a
9.4.1.2,"Display and analyze data; use various measures associated with data to draw conclusions, identify trends and describe relationships.",Analyze the effects on summary statistics of changes in data sets. ,n/a,n/a
9.4.1.3,"Display and analyze data; use various measures associated with data to draw conclusions, identify trends and describe relationships.","Use scatterplots to analyze patterns and describe relationships between two variables. Using technology, determine regression lines (line of best fit) and correlation coefficients; use regression lines to make predictions and correlation coefficients to assess the reliability of those predictions.",n/a,n/a
9.4.1.4,"Display and analyze data; use various measures associated with data to draw conclusions, identify trends and describe relationships.","Use the mean and standard deviation of a data set to fit it to a normal distribution (bell-shaped curve) and to estimate population percentages. Recognize that there are data sets for which such a procedure is not appropriate. Use calculators, spreadsheets and tables to estimate areas under the normal curve. ",n/a,n/a
9.4.2.1,"Explain the uses of data and statistical thinking to draw inferences,  make predictions and justify conclusions.","Evaluate reports based on data published in the media by identifying the source of the data, the design of the study, and the way the data are analyzed and displayed. Show how graphs and data can be distorted to support different points of view. Know how to use spreadsheet tables and graphs or graphing technology to recognize and analyze distortions in data displays. ",n/a,n/a
9.4.2.2,"Explain the uses of data and statistical thinking to draw inferences,  make predictions and justify conclusions.",Identify and explain misleading uses of data; recognize when arguments based on data confuse correlation and causation.,n/a,n/a
9.4.2.3,"Explain the uses of data and statistical thinking to draw inferences,  make predictions and justify conclusions.","Design simple experiments and explain the impact of sampling methods, bias and the phrasing of questions asked during data collection.",n/a,n/a
9.4.3.1,Calculate probabilities and apply probability concepts to solve real-world and mathematical problems.,"Select and apply counting procedures, such as the multiplication and addition principles and tree diagrams, to determine the size of a sample space (the number of possible outcomes) and to calculate probabilities. ",n/a,n/a
9.4.3.2,Calculate probabilities and apply probability concepts to solve real-world and mathematical problems.,Calculate experimental probabilities by performing simulations or experiments involving a probability model and using relative frequencies of outcomes.,n/a,n/a
9.4.3.3,Calculate probabilities and apply probability concepts to solve real-world and mathematical problems.,Understand that the Law of Large Numbers expresses a relationship between the probabilities in a probability model and the experimental probabilities found by performing simulations or experiments involving the model.,n/a,n/a
9.4.3.4,Calculate probabilities and apply probability concepts to solve real-world and mathematical problems.,"Use random numbers generated by a calculator or a spreadsheet, or taken from a table, to perform probability simulations and to introduce fairness into decision making. ",n/a,n/a
9.4.3.5,Calculate probabilities and apply probability concepts to solve real-world and mathematical problems.,"Apply probability concepts such as intersections, unions and complements of events, and conditional probability and independence, to calculate probabilities and solve problems. ",n/a,n/a
9.4.3.6,Calculate probabilities and apply probability concepts to solve real-world and mathematical problems.,"Describe the concepts of intersections, unions and complements using Venn diagrams. Understand the relationships between these concepts and the words AND, OR, NOT, as used in computerized searches and spreadsheets. ",n/a,n/a
9.4.3.7,Calculate probabilities and apply probability concepts to solve real-world and mathematical problems.,"Understand and use simple probability formulas involving intersections, unions and complements of events. ",n/a,n/a
9.4.3.8,Calculate probabilities and apply probability concepts to solve real-world and mathematical problems.,Apply probability concepts to real-world situations to make informed decisions. ,n/a,n/a
9.4.3.9,Calculate probabilities and apply probability concepts to solve real-world and mathematical problems.,Use the relationship between conditional probabilities and relative frequencies in contingency tables. ,n/a,n/a
